epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8945.88,0.78072,0.46063,0.00809,0.94235,0.92426,0.95674,0.83938,0.57713,0.34873,0.00911,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9261.21,0.77115,0.45263,0.00799,0.92945,0.93653,0.95497,0.83819,0.57688,0.35086,0.00908,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9575.84,0.76584,0.45486,0.00793,0.93114,0.9325,0.95679,0.84145,0.57721,0.35356,0.00895,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9890.34,0.7746,0.45174,0.008,0.93973,0.92915,0.95614,0.84256,0.5676,0.34954,0.00885,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10205.6,0.76157,0.44165,0.00788,0.9295,0.9353,0.95603,0.8419,0.56927,0.34716,0.00891,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10519.9,0.75836,0.44596,0.0078,0.93554,0.93027,0.95446,0.84202,0.56641,0.35539,0.00887,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10834.3,0.75887,0.4488,0.00786,0.93116,0.93668,0.95548,0.84495,0.56104,0.34942,0.00875,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11148.9,0.75576,0.43897,0.00781,0.93394,0.9372,0.95388,0.84313,0.55861,0.34422,0.0087,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11464,0.75292,0.44131,0.00782,0.93725,0.92906,0.95366,0.84342,0.55725,0.35182,0.00872,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11778.4,0.74997,0.43054,0.00769,0.93311,0.9395,0.95696,0.84521,0.55847,0.34281,0.00874,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12093.4,0.74908,0.42812,0.00765,0.9308,0.9284,0.95495,0.84419,0.56119,0.34783,0.00882,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12408.3,0.74266,0.41734,0.00759,0.94383,0.92667,0.95641,0.84517,0.56093,0.34067,0.00884,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12723,0.73723,0.41558,0.00754,0.93576,0.93591,0.95682,0.84671,0.55803,0.3368,0.00875,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13038.3,0.73576,0.41598,0.0075,0.93406,0.94455,0.95742,0.84824,0.5542,0.33214,0.00863,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13352.1,0.73378,0.42041,0.0074,0.94127,0.93676,0.95737,0.84894,0.55359,0.3322,0.00863,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13665.7,0.72988,0.41192,0.0075,0.93951,0.93936,0.95879,0.85052,0.55017,0.33418,0.00856,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13979.4,0.72837,0.41337,0.00745,0.94471,0.93259,0.95841,0.85019,0.55013,0.335,0.00854,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14295.3,0.72393,0.40754,0.00734,0.93696,0.93845,0.95908,0.85023,0.5488,0.33373,0.00856,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,14609.3,0.72129,0.40866,0.0074,0.93634,0.93753,0.95847,0.85074,0.54557,0.33449,0.00845,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14924,0.71981,0.40594,0.00735,0.93381,0.94114,0.95849,0.85091,0.54301,0.33607,0.00837,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15238.2,0.71714,0.39662,0.00725,0.9344,0.94133,0.95858,0.85206,0.54252,0.33198,0.00836,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,15553,0.71167,0.39116,0.00723,0.93272,0.94216,0.95863,0.8529,0.54133,0.33251,0.00833,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15866.8,0.71059,0.38942,0.00719,0.9321,0.9427,0.95928,0.8533,0.54289,0.3308,0.00838,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16181.9,0.70302,0.3846,0.0071,0.9402,0.93364,0.95835,0.85263,0.54144,0.33149,0.00834,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,16497.2,0.70126,0.39003,0.00707,0.94371,0.93179,0.95896,0.8542,0.5422,0.32922,0.00837,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,16811,0.70085,0.38649,0.00707,0.94461,0.93047,0.95829,0.85368,0.54142,0.33215,0.00836,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
